Server-Analyse (nur lesend)
Datei    : TRIN__04_matnr_bruecke.sql
Standort : TRIN (Indien)
Quelle   : SAGE
Host     : 20.197.20.60:30015
Schema   : TRAFAG_LIVE
Zeitpunkt: 2026-08-05 14:18:12
Statements: 3

=== Runde 4: Gibt es auf dem indischen Artikel die Trafag-Materialnummer? ===
SALES_TYPE | ARTIKEL | MIT_OMN | MIT_ORDERING_CODE | MIT_CUSTOMER_PN | MIT_DRAWING_NO
FFM | 1194 | 1037 | 1189 | 215 | 61
-- | 129 | 96 | 1 | 7 | 2
LRD | 123 | 121 | 119 | 72 | 11
CM | 2 | 0 | 0 | 0 | 2
NULL | 1 | 0 | 0 | 0 | 0
-- 5 Zeile(n), 538 ms

=== 2 Alle LRD-Artikel mit ihren Nummern - Grundlage fuer den Abgleich mit GroupStandardCosts ===
ARTIKEL | MATERIAL_NO | ORDERING_CODE | VENDOR | RECHNUNGSZEILEN
DM000214 | 63950 | 8793.21.2802.Y1.0000.0000.05.60.61.80.95.C5.U2.01.01 | V0078 | 1
PT000068 | 45226 | 8252.76.2517.01.0000.0000.19.34.44.61 | V0078 | 1
PT000065 | 59261 | 8253.80.2417.02.0000.0000.14 | V0078 | 1
PT000066 | 59264 | 8253.74.2417.02.0000.0000.14 | V0078 | 1
PT000067 | 59258 | 8253.79.2417.02.0000.0000.14 | V0078 | 1
DM000078 | 51877 | 8782.20.2551.Y1.0000.0000.11.60.61.U1.01.01.01 | V0078 | 1
DM000020 | 61658 | 8793.21.1150.Y1.0000.0000.08.60.61.79.95.C2.U1.01.01 | V0078 | 1
-- 123 Zeile(n), 378 ms

=== 3 Sehen die Nummern wie eine Trafag-MATNR aus (Stichprobe mit Bezeichnung) ===
ARTIKEL | SALES_TYPE | MATERIAL_NO | ORDERING_CODE | BEZEICHNUNG
DM000001 | FFM | 59831 | 8736.20.1030.Y1.0000.0000.11.60.61.66.01.01.01 | DENSITYMONITOR_59831, Customer Part No. - DYD0100168H0040
DM000083 | LRD | -- | Code 46 + code 06 | GDMINSULATIONASSY (Hyosung Part no-DYB0407018H0001)
H90101 | LRD | -- |  | BRAZING ROD SILVER 56/41% 156F D2.0
PS000674 | LRD | 3759 | 900.2675.901 | P2.5-BRASS-1SPDT(26)_3759
PT000003 | LRD | 57291 | 8283.78.2511.05.0000.0000.19.58 | EPR10.0A(57291)-8283
PT000010 | LRD | 54859 | 8254.78.2315.32.0000.0000.23.61 | NAH10.0V(54859)Wabtec (FT0054009-100)
-- 6 Zeile(n), 246 ms
